alpha_ratio_avg,digits_pos_0_ratio,digits_pos_18_ratio,digits_pos_21_ratio,digits_pos_41_ratio,digits_pos_48_ratio,digits_pos_61_ratio,digits_pos_77_ratio,digits_pos_9_ratio,digits_ratio_avg,double_finess_ratio,filename,format_inferred,had_token_ratio,line_len_max,line_len_mean,line_len_median,line_len_min,n_lines,psy_token_ratio,size_bytes,spaces_ratio_avg,year_inferred
0.0167,0.6362,1.0,1.0,0.0,0.0,0.0,0.0,0.6362,0.3462,0.6362,fv_psy_vip_2022_M12_FORMAT_ok.txt,PSY-other,0.0,120,120.0,120,120,2144,0.0,261568,0.6371,2022
0.6498,1.0,0.4989,1.0,1.0,1.0,0.0,1.0,0.6169,0.2448,0.0,fv_psy_ano_2023_M12.txt,PSY-other,0.0,1933,1758.1,1584,1584,3143,0.0,5532030,0.0763,2023
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7021,1.0,fv_psy_fc_htpart_2023_M12.txt,PSY-other,0.0,47,47.0,47,47,9226,0.0,452074,0.2979,2023
,,,,,,,,,,,fv_psy_fc_ic_2023_M12.txt,PSY-other,,,,,,0,,0,,2023
0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,fv_psy_ficum_2023_M12.txt,PSY-other,0.0,38,38.0,38,38,40,0.0,1600,0.0947,2023
0.0772,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7475,1.0,fv_psy_raa_2023_M12.txt,PSY-other,0.0,152,98.6,96,96,10000,1.0,2656396,0.1752,2023
0.0214,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7709,1.0,fv_psy_rps_2023_M12.txt,PSY-other,0.0,194,156.6,154,154,2773,1.0,439916,0.2077,2023
0.0111,0.9994,0.9726,1.0,0.0,0.0,0.9375,0.0,0.9994,0.5041,0.9688,fv_psy_vh_2023_M12.txt,PSY-other,0.0,468,468.0,468,468,1568,0.0,736960,0.4848,2023
0.0148,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3788,1.0,fv_psy_vip_2023_M12.txt,PSY-other,0.0,135,135.0,135,135,1575,0.0,215775,0.6064,2023
0.6601,1.0,0.4682,1.0,1.0,1.0,0.0,1.0,0.6097,0.2382,0.0,fv_psy_ano_2024_M12.txt,PSY-other,0.0,1933,1747.4,1584,1584,2849,0.0,4984080,0.0745,2024
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7021,1.0,fv_psy_fc_htpart_2024_M12.txt,PSY-other,0.0,47,47.0,47,47,9684,0.0,474516,0.2979,2024
0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7995,0.0,fv_psy_ficum_2024_M12.txt,PSY-other,0.0,38,38.0,38,38,42,0.0,1680,0.0952,2024
0.0773,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7507,1.0,fv_psy_raa_2024_M12.txt,PSY-other,0.0,136,97.5,96,96,10000,1.0,2588032,0.172,2024
0.0211,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7711,1.0,fv_psy_rps_2024_M12.txt,PSY-other,0.0,194,156.5,154,154,2674,1.0,423703,0.2078,2024
0.011,0.9993,0.9625,1.0,0.0,0.0,0.6829,0.0,0.9993,0.4947,0.9483,fv_psy_vh_2024_M12.txt,PSY-other,0.0,468,468.0,468,468,1334,0.0,626980,0.4943,2024
0.0148,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4118,0.9993,fv_psy_vip_2024_M12.txt,PSY-other,0.0,135,135.0,135,135,1515,0.0,207555,0.5734,2024
0.6601,1.0,0.4682,1.0,1.0,1.0,0.0,1.0,0.6097,0.2382,0.0,940140015.2024.12.anohosp.txt,ANO-HOSP,0.0,1933,1747.4,1584,1584,2849,0.0,4984080,0.0745,2024
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,940140015.2024.12.hosp_pmsi.autogen.txt,INCONNU,0.0,40,40.0,40,40,2674,0.0,112308,0.55,2024
0.0773,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7507,1.0,940140015.2024.12.rpa.txt,INCONNU,0.0,136,97.5,96,96,10000,1.0,2588032,0.172,2024
0.0211,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7711,1.0,940140015.2024.12.rps.txt,RPS,0.0,194,156.5,154,154,2674,1.0,423703,0.2078,2024
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7021,1.0,940140015.2024.12.tpartiel.txt,INCONNU,0.0,47,47.0,47,47,9684,0.0,474516,0.2979,2024
0.4033,0.0,1.0,1.0,1.0,1.0,0.0245,1.0,0.6286,0.3968,0.0,fv_psy_ano_2018_M12.txt,PSY-other,0.0,825,825.0,825,825,1753,0.0,1449731,0.1847,2018
,,,,,,,,,,,fv_psy_fc_ic_2018_M12.txt,PSY-other,,,,,,0,,2,,2018
0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,fv_psy_ficum_2023_M12___date___non_attendu.txt,PSY-other,0.0,38,38.0,38,38,40,0.0,1600,0.0947,2023
0.0654,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8777,1.0,fv_psy_raa_2018_M12.txt,PSY-other,0.0,124,92.3,92,92,10000,1.0,2309406,0.0569,2018
0.0203,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9143,1.0,fv_psy_rps_2018_M12.txt,PSY-other,0.0,160,152.1,152,152,2242,1.0,345436,0.0654,2018
0.011,0.9971,0.996,1.0,1.0,0.0,0.1786,0.0,0.9971,0.4758,0.9612,fv_psy_vh_2018_M12.txt,PSY-other,0.0,432,432.0,432,432,1753,0.0,760802,0.5132,2018
0.3953,0.0,1.0,1.0,1.0,1.0,0.0522,1.0,0.6263,0.4006,0.0,fv_psy_ano_2019_M12.txt,PSY-other,0.0,846,846.0,846,846,1742,0.0,1477216,0.1893,2019
0.0159,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9206,1.0,fv_psy_fc_ic_2019_M12.txt,PSY-other,0.0,63,63.0,63,63,370,0.0,24050,0.0635,2019
0.1053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,fv_psy_ficum_2023_M12___date___non_attendu.txt,PSY-other,0.0,38,38.0,38,38,40,0.0,1600,0.0947,2023
0.0655,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8769,1.0,fv_psy_raa_2019_M12.txt,PSY-other,0.0,132,92.5,92,92,10000,1.0,2055686,0.0575,2019
0.0205,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9135,1.0,fv_psy_rps_2019_M12.txt,PSY-other,0.0,192,152.6,152,152,2379,1.0,367902,0.066,2019
0.0113,1.0,0.9977,1.0,1.0,0.0,0.1722,0.0,1.0,0.4807,0.9851,fv_psy_vh_2019_M12.txt,PSY-other,0.0,452,452.0,452,452,1742,0.0,790868,0.508,2019
0.6114,0.0,0.5085,1.0,0.9993,0.9993,0.0,1.0,0.6225,0.2507,0.0,fv_psy_ano_2020_M12.txt,PSY-other,0.0,1283,1112.4,1283,936,2824,0.0,3147204,0.1179,2020
